epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
168,518.55,0.54581,0.41837,0.80419,0.98241,1,0.995,0.8955,0.42099,0.30468,0.83808,0.0008978,0.0008978,0.0008978
169,521.672,0.53763,0.37497,0.78416,0.98241,1,0.995,0.8955,0.42099,0.30468,0.83808,0.0008912,0.0008912,0.0008912
170,524.908,0.52788,0.40446,0.80749,0.9824,1,0.995,0.8955,0.41576,0.31442,0.83723,0.0008846,0.0008846,0.0008846
171,528.19,0.54853,0.40653,0.81055,0.98201,1,0.995,0.8955,0.48816,0.36181,0.84335,0.000878,0.000878,0.000878
172,531.188,0.56868,0.39621,0.79514,0.98183,1,0.995,0.8955,0.52031,0.37031,0.84918,0.0008714,0.0008714,0.0008714
173,534.454,0.6118,0.42135,0.78664,0.98183,1,0.995,0.8955,0.52031,0.37031,0.84918,0.0008648,0.0008648,0.0008648
174,537.401,0.53666,0.39941,0.8173,0.9816,1,0.995,0.8955,0.45746,0.39944,0.84053,0.0008582,0.0008582,0.0008582
175,540.4,0.50863,0.38863,0.75823,0.98131,1,0.995,0.8955,0.40894,0.31924,0.83422,0.0008516,0.0008516,0.0008516
176,543.413,0.51454,0.3894,0.80262,0.98165,1,0.995,0.8955,0.43324,0.31629,0.8366,0.000845,0.000845,0.000845
177,545.95,0.54047,0.39144,0.74843,0.98165,1,0.995,0.8955,0.43324,0.31629,0.8366,0.0008384,0.0008384,0.0008384
178,548.724,0.54598,0.40501,0.79389,0.98198,1,0.995,0.8955,0.56488,0.32852,0.84402,0.0008318,0.0008318,0.0008318
179,551.378,0.51341,0.38716,0.77729,0.98222,1,0.995,0.8955,0.55841,0.34795,0.84344,0.0008252,0.0008252,0.0008252
180,554.029,0.49334,0.38166,0.79423,0.98197,1,0.995,0.92662,0.45586,0.30908,0.83491,0.0008186,0.0008186,0.0008186
181,557.108,0.5602,0.38727,0.7877,0.98197,1,0.995,0.92662,0.45586,0.30908,0.83491,0.000812,0.000812,0.000812
182,560.112,0.47922,0.38039,0.79802,1,1,0.995,0.933,0.37756,0.33473,0.82502,0.0008054,0.0008054,0.0008054
183,563.013,0.52046,0.39387,0.7727,1,1,0.995,0.933,0.32173,0.32072,0.81989,0.0007988,0.0007988,0.0007988
184,565.612,0.57104,0.40572,0.81014,1,1,0.995,0.995,0.27617,0.26922,0.81828,0.0007922,0.0007922,0.0007922
185,568.217,0.48976,0.38388,0.77583,1,1,0.995,0.995,0.27617,0.26922,0.81828,0.0007856,0.0007856,0.0007856
186,570.826,0.55859,0.38584,0.7633,1,1,0.995,0.933,0.32225,0.31554,0.8214,0.000779,0.000779,0.000779
187,573.525,0.47802,0.36038,0.76024,1,1,0.995,0.933,0.31204,0.33732,0.82016,0.0007724,0.0007724,0.0007724
188,576.087,0.45787,0.3793,0.80335,1,1,0.995,0.933,0.31157,0.27424,0.82275,0.0007658,0.0007658,0.0007658
189,579.054,0.52139,0.37646,0.82594,1,1,0.995,0.933,0.31157,0.27424,0.82275,0.0007592,0.0007592,0.0007592
190,582.362,0.52204,0.37246,0.81127,1,1,0.995,0.95775,0.33678,0.25865,0.82328,0.0007526,0.0007526,0.0007526
191,585.558,0.52014,0.3801,0.78489,0.98244,1,0.995,0.9535,0.34882,0.2601,0.82025,0.000746,0.000746,0.000746
192,588.463,0.51222,0.36088,0.79102,0.98252,1,0.995,0.9501,0.32155,0.29152,0.81693,0.0007394,0.0007394,0.0007394
193,591.27,0.54799,0.3872,0.78884,0.98252,1,0.995,0.9501,0.32155,0.29152,0.81693,0.0007328,0.0007328,0.0007328
194,594.041,0.54593,0.39811,0.79735,0.98242,1,0.995,0.9501,0.26932,0.3302,0.81024,0.0007262,0.0007262,0.0007262
